ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
21915,INST,1550,003,Seminar,"2","Christian McMillen,Jessica Amick","We 5:00PM - 7:00PM","Fayerweather Hall 215","Interdisciplinary Studies-Student Initiated Courses","Societal Aspects of Health",Open,7,20,0
21930,INST,1550,004,Seminar,"2","Philip Schroeder, Michael Timko","Mo 3:00PM - 5:00PM","Gilmer Hall 225","Interdisciplinary Studies-Student Initiated Courses","Millenials & Artificl Intellgn",Open,12,20,0
21923,INST,1550,005,Seminar,"2","Lucy Guarnera,Sara Dalpe","Mo 6:00PM - 8:00PM","New Cabell Hall 303","Interdisciplinary Studies-Student Initiated Courses","Juvenile Delinquency",Open,18,25,0
21941,INST,1550,006,Seminar,"2","David Hall,James Kinney","Tu 6:00PM - 8:00PM","The Rotunda Room 150","Interdisciplinary Studies-Student Initiated Courses","Video Games and Epic",Open,19,20,0
15544,INST,1605,001,Lecture,"1","Christine Magume,Daanish Ahmed,Edem Akwayena,Kirt Von Daacke","Mo 4:00PM - 4:50PM","New Cabell Hall 323","History of Mr. Jefferson's University","",Open,42,45,0
14114,INST,2500,001,Seminar,"1","Sandra Seidel","Tu 6:30PM - 8:30PM","Mary Munford House","Interdisciplinary Studies International Residential College","Mindfulness Practices",Open,10,16,0
20041,INST,2500,003,Seminar,"1","Sandra Seidel","Mo 8:00AM - 8:45AM","Mary Munford House","Interdisciplinary Studies International Residential College","IRC in Oxford and London",Open,11,12,0
14185,INST,2550,003,Seminar,"1 - 3","William Petri","Th 6:30PM - 7:30PM","Contact Department","Interdisciplinary Studies Hereford College","Bill's Bugs",Open,7,8,0
14264,INST,2550,004,Seminar,"1 - 3","Mary Ambrose","Tu 6:00PM - 7:00PM","Contact Department","Interdisciplinary Studies Hereford College","Music and Politics",Open,7,12,0
21740,INST,2550,005,Lecture,"1 - 3","Janie Whitworth","Th 5:00PM - 7:00PM","Contact Department","Interdisciplinary Studies Hereford College","Garden Party",Open,4,12,0
15718,INST,2550,007,Seminar,"1 - 3","Chantal Madray,Wendy Cohn","Mo 5:00PM - 7:00PM","Contact Department","Interdisciplinary Studies Hereford College","Planning for Climate Change",Open,0,12,0
21362,INST,2559,001,Lecture,"1 - 4","Judith Giering,Lindsay Wheeler","Fr 1:00PM - 1:50PM","Monroe Hall 134","New Course in Interdisciplinary Studies","",Open,31,36,0
14171,INST,2570,001,Seminar,"1 - 3","Stephen Plaskon","Fr 3:00PM - 4:00PM","New Cabell Hall 042","Interdisciplinary Studies Brown College","Course Design Practicum",Open,6,12,0
15661,INST,2570,003,Seminar,"1 - 3","Stephen Plaskon","Fr 11:00AM - 11:50AM","New Cabell Hall 066","Interdisciplinary Studies Brown College","Media Production Workshop",Open,0,10,0
14751,INST,3600,001,Lecture,"1","Barry Condron","We 5:00PM - 6:15PM","Minor Hall 125","The Best of UVA:  A Collection of Unforgettable Lectures","",Closed,137,140,0
15480,INST,4200,001,Seminar,"1","Michael Lenox","Tu 4:00PM - 4:50PM","Contact Department","Lawn Seminar","",Open,8,12,0
20475,ISBU,3772,301,Lecture,"3","Jill Guindon-Nasir","Tu 4:00PM - 6:45PM","NVCC Alexandria Campus","Global Leadership Fundamentals for All Industries","",Open,2,13,0
20323,ISBU,3840,101,Lecture,"3","Richard Johnson","We 7:00PM - 9:45PM","Web-Based Course-No class mtgs","International Business","",Closed,29,15,0
20474,ISBU,3888,101,Lecture,"3","Yitna Firdyiwek","Th 7:00PM - 9:45PM","Web-Based Course-No class mtgs","Looking Through the Philosophic Lens of Technology","",Open,4,13,0
20492,ISBU,4670,870,Lecture,"3","Mary Repass","Tu 7:00PM - 9:45PM","Richmond Regional Center","Organizational Change and Development","",Open,1,13,0
20326,ISHU,3061,101,Lecture,"3","Luke Wright","Tu 7:00PM - 9:45PM","Web-Based Course-No class mtgs","Sacred Paths: Introduction to World Religions","",Open,23,25,0
20473,ISHU,3183,101,Lecture,"3","Karen Hufford","Th 7:00PM - 9:45PM","Web-Based Course-No class mtgs","Writing the Story of Your Life:  Creative Nonfiction","",Open,24,25,0
20330,ISHU,3621,301,Lecture,"3","George Andrews","Th 7:00PM - 9:45PM","NVCC Alexandria Campus","The Biological Basis for Art","",Open,10,25,0
21775,ISHU,4120,101,Lecture,"3","Kenny Marotta","Mo 7:00PM - 9:45PM","Zehmer Hall 00E","The American Short Story: The Writer and Tradition","",Open,8,25,0
20328,ISHU,4130,101,Lecture,"3","George Andrews","We 7:00PM - 9:45PM","Web-Based Course-No class mtgs","Film Noir","",Closed,28,25,0
20329,ISHU,4190,101,Lecture,"3","Robert Henry","We 7:00PM - 9:45PM","Web-Based Course-No class mtgs","Writing Strategies","",Open,8,25,0
20338,ISIN,4510,101,Lecture,"3","Ann Plunkett","Mo 7:00PM - 9:45PM","Web-Based Course-No class mtgs","Special Topics in Conduct of Inquiry: Social Sciences","Exploring the Social Sciences",Closed,29,25,0
20339,ISIN,4520,101,Lecture,"3","Luke Wright","We 7:00PM - 9:45PM","Web-Based Course-No class mtgs","Special Topics in Conduct of Inquiry: Humanities","God and Darwin",Open,22,25,0
20345,ISLS,3040,101,Lecture,"3","John Mirabella","Th 7:00PM - 9:45PM","Zehmer Hall 00E","Decision Making in Public Organizations","",Open,8,15,0
20346,ISLS,3210,870,Lecture,"3","Charlotte Matthews","Mo 7:00PM - 9:45PM","Richmond Regional Center","The Frost is Hard-Edged and Quick: Metaphor - Making a Final Unity","",Open,8,15,0
20342,ISLS,3620,101,Lecture,"3","Julia May","Tu 7:00PM - 9:45PM","Web-Based Course-No class mtgs","Ritual and Becoming in the Arts of Africa","",Closed,15,10,0
20344,ISLS,3780,301,Lecture,"3","Alan Rasmussen","We 7:00PM - 9:45PM","NVCC Alexandria Campus","An Examination of the Criminal Justice System","",Open,5,15,0
20356,ISSS,3160,470,Lecture,"3","Robert Guttman","Th 7:00PM - 9:45PM","NVCC Loudoun Campus","Democracy in America","",Open,7,25,0
20349,ISSS,3262,101,Lecture,"3","Richard Floyd","Mo 7:00PM - 9:45PM","Web-Based Course-No class mtgs","Globalization, Liberalism, and Reform in the 19th Century","",Open,10,25,0
20740,ISSS,3401,101,Lecture,"3","Angela Orebaugh","Tu 7:00PM - 9:45PM","Web-Based Course-No class mtgs","Smart Cities Enabling Sustainability","",Open,24,25,0
20350,ISSS,3411,101,Lecture,"3","Stephen Oliver","Th 7:00PM - 9:45PM","Web-Based Course-No class mtgs","Personality Psychology: Theory and Application","",Closed,26,25,0
21901,ISSS,3772,301,Lecture,"3","Jill Guindon-Nasir","Tu 4:00PM - 6:45PM","NVCC Alexandria Campus","Global Leadership Fundamentals for All Industries","",Open,3,12,0
20348,ISSS,3830,101,Lecture,"3","Peter Ronayne","We 12:03AM - 12:04AM","Web-Based Course-No class mtgs","Critical Issues in American Foreign Policy","",Open,23,25,0
20352,ISSS,3888,101,Lecture,"3","Yitna Firdyiwek","Th 7:00PM - 9:45PM","Web-Based Course-No class mtgs","Looking Through the Philosophic Lens of Technology","",Open,4,12,0
20354,ISSS,4005,101,Lecture,"3","Sean Edwards","Tu 4:00PM - 6:45PM","Zehmer Hall 00B","Irregular Warfare: Terrorists, Insurgents, and Transnational Criminals","",Open,6,25,0
20353,ISSS,4292,301,Lecture,"3","Robert Guttman","We 7:00PM - 9:45PM","NVCC Alexandria Campus","Liberalism and Conservatism in Modern America","",Open,6,25,0
20351,ISSS,4458,101,Lecture,"3","Paul Pitman","Th 7:00PM - 9:45PM","Web-Based Course-No class mtgs","The Cold War","",Open,3,25,0
20358,ISSS,4670,870,Lecture,"3","Mary Repass","Tu 7:00PM - 9:45PM","Richmond Regional Center","Organizational Change and Development","",Open,6,12,0
20360,IT,3220,701,Lecture,"3","Lisa Wentzel","Mo 1:14AM - 1:15AM","Web-Based Course-No class mtgs","Strategic Business Value of Information Technology","",Open,16,24,0
20361,IT,3240,701,Lecture,"3","Donald Chisholm","We 1:16AM - 1:17AM","Web-Based Course-No class mtgs","Enterprise Systems Architecture and Design","",Open,8,24,0
20362,IT,4400,701,Lecture,"3","Michael Vito","We 1:18AM - 1:19AM","Web-Based Course-No class mtgs","Web Application Development - Building Dynamic Websites","",Open,8,24,0
20363,IT,5220,701,Lecture,"3","Lisa Wentzel","We 1:14AM - 1:15AM","Web-Based Course-No class mtgs","Strategic Business Value of Information Technology","",Open,2,24,0
11082,ITAL,1020,001,Lecture,"4","Stella Mattioli","MoWeFr 12:00PM - 12:50PM","New Cabell Hall 183","Elementary Italian II","",Closed,20,20,0
11084,ITAL,1020,003,Lecture,"4","Stella Mattioli","MoWeFr 2:00PM - 2:50PM","New Cabell Hall 183","Elementary Italian II","",Closed,20,20,0
11085,ITAL,1020,004,Lecture,"4","Sarah Annunziato","MoWeFr 11:00AM - 11:50AM","New Cabell Hall 232","Elementary Italian II","",Closed,20,20,0
11086,ITAL,1020,005,Lecture,"4","Sarah Annunziato","MoWeFr 9:00AM - 9:50AM","New Cabell Hall 183","Elementary Italian II","",Open,15,20,0
19598,ITAL,1020,006,Lecture,"4","Stella Mattioli","MoWeFr 3:00PM - 3:50PM","New Cabell Hall 183","Elementary Italian II","",Open,12,20,0
13896,ITAL,2020,001,Lecture,"3","Sandro Puiatti","MoWeFr 11:00AM - 11:50AM","Wilson Hall 214","Intermediate Italian II","",Open,16,20,0
11087,ITAL,2020,002,Lecture,"3","Sandro Puiatti","MoWeFr 10:00AM - 10:50AM","Wilson Hall 214","Intermediate Italian II","",Open,17,20,0
11088,ITAL,2020,003,Lecture,"3","Francesca Calamita","MoWeFr 2:00PM - 2:50PM","New Cabell Hall 191","Intermediate Italian II","",Open,7,20,0
11089,ITAL,2020,004,Lecture,"3","Francesca Calamita","MoWeFr 12:00PM - 12:50PM","New Cabell Hall 315","Intermediate Italian II","",Open,15,20,0
21094,ITAL,2030,001,Lecture,"3","Sandro Puiatti","MoWeFr 1:00PM - 1:50PM","Nau Hall 242","Intermediate Italian II for Professionals","",Open,9,16,0
11090,ITAL,3020,001,Lecture,"3","Enrico Cesaretti","MoWeFr 12:00PM - 12:50PM","Nau Hall 242","Advanced Italian II","",Open,9,20,0
19600,ITAL,3720,001,Lecture,"3","Enrico Cesaretti","MoWeFr 11:00AM - 11:50AM","Nau Hall 242","Novella (Italian Short Narrative)","",Open,12,16,0
15565,ITAL,4989,001,Independent Study,"3","Francesca Calamita","TBA","TBA","Distinguished Major in Italian Studies Thesis","",Closed,1,1,0
20743,ITTR,2260,001,Lecture,"3","Deborah Parker","MoWe 2:00PM - 3:15PM","New Cabell Hall 042","Dante in Translation","",Open,12,15,0
21709,ITTR,3680,001,Lecture,"3","Francesca Calamita","MoWeFr 11:00AM - 11:50AM","New Cabell Hall 332","Eve's Sinful Bite: Foodscapes in Women's Writing Culture and Society","",Open,13,15,0
20748,ITTR,3690,001,Seminar,"3","Sarah Annunziato","MoWeFr 1:00PM - 1:50PM","Gibson Hall 141","Mafiosi vs Goodfellas: Organized Crime on Film in Italy & The USA","",Open,26,30,0
11091,JAPN,1020,001,Lecture,"4","Tomoko Marshall","MoTuWeThFr 10:00AM - 10:50AM","New Cabell Hall 056","First-Year Japanese","",Closed,16,16,0
11092,JAPN,1020,002,Lecture,"4","Tomoko Marshall","MoTuWeThFr 11:00AM - 11:50AM","New Cabell Hall 056","First-Year Japanese","",Open,14,16,0
14545,JAPN,1020,003,Lecture,"4","Tomomi Sato","MoTuWeThFr 11:00AM - 11:50AM","New Cabell Hall 064","First-Year Japanese","",Open,15,16,0
11093,JAPN,1020,004,Lecture,"4","Tomomi Sato","MoTuWeThFr 12:00PM - 12:50PM","New Cabell Hall 064","First-Year Japanese","",Open,8,16,0
11094,JAPN,2020,001,Lecture,"4","Mieko Kawai","MoTuWeThFr 10:00AM - 10:50AM","New Cabell Hall 044","Second-Year Japanese","",Open,12,16,0
11095,JAPN,2020,002,Lecture,"4","Mieko Kawai","MoTuWeThFr 11:00AM - 11:50AM","New Cabell Hall 044","Second-Year Japanese","",Open,15,16,0
13908,JAPN,2020,003,Lecture,"4","Mieko Kawai","MoTuWeThFr 1:00PM - 1:50PM","New Cabell Hall 064","Second-Year Japanese","",Open,14,16,0
11096,JAPN,3020,001,Lecture,"3","Tomomi Sato","MoWeFr 10:00AM - 10:50AM","Gibson Hall 142","Third-Year Japanese II","",Open,10,15,0
11097,JAPN,3025,001,Lecture,"1","Tomomi Sato","TBA","TBA","Language House Conversation","",Open,7,20,0
14546,JAPN,4710,001,Lecture,"3","Gustav Heldt","We 2:00PM - 4:30PM","Nau Hall 142","Introduction to Literary Japanese (Bungo)","",Open,5,20,0
20268,JAPN,4830,001,Lecture,"3","Tomoko Marshall","MoWeFr 1:00PM - 1:50PM","New Cabell Hall 338","Media Japanese","",Open,4,20,0
13224,JAPN,4993,001,Independent Study,"1 - 3","Gustav Heldt","TBA","TBA","Independent Study in Japanese","",Open,0,30,0
13601,JAPN,4993,002,Independent Study,"1 - 3","Staff","TBA","TBA","Independent Study in Japanese","",Open,0,5,0
13069,JPTR,3020,001,Lecture,"3","Miyabi Goto","TuTh 2:00PM - 3:15PM","New Cabell Hall 187","Survey of Modern Japanese Literature","",Open,14,20,0
20269,JPTR,3210,001,Seminar,"3","Gustav Heldt","Tu 3:30PM - 6:00PM","New Cabell Hall 209","The Tale of Genji","",Open,13,18,0
20271,JPTR,3559,001,Seminar,"3","Miyabi Goto","Mo 3:30PM - 6:00PM","New Cabell Hall 027","New Course in Japanese in Translation","Japanese Popular Culture",Open,16,18,0
22256,JPTR,3559,002,Seminar,"3","Miyabi Goto","Th 3:30PM - 6:00PM","Shea House 211","New Course in Japanese in Translation","Tokyo, Its Cinematic Landscape",Closed,15,15,0
14663,JPTR,4991,001,Seminar,"1","Gustav Heldt","TBA","TBA","Japanese Capstone","",Open,0,10,0
13070,JPTR,5020,001,Lecture,"3","Miyabi Goto","TuTh 2:00PM - 3:15PM","New Cabell Hall 187","Survey of Modern Japanese Literature","",Open,1,3,0
20270,JPTR,5210,001,Seminar,"3","Gustav Heldt","Tu 3:30PM - 6:00PM","New Cabell Hall 209","The Tale of Genji","",Open,0,2,0
20272,JPTR,5559,001,Seminar,"3","Miyabi Goto","Mo 3:30PM - 6:00PM","New Cabell Hall 027","New Course in Japanese in Translation","Japanese Popular Culture",Open,1,2,0
22257,JPTR,5559,002,Seminar,"3","Miyabi Goto","Th 3:30PM - 6:00PM","Shea House 211","New Course in Japanese in Translation","Tokyo, Its Cinematic Landscape",Open,2,5,0
13742,JWST,4980,001,Independent Study,"3","Asher Biemann","TBA","TBA","Supervised Research","",Open,0,30,0
13743,JWST,4980,002,Independent Study,"3","Vanessa Ochs","TBA","TBA","Supervised Research","",Open,0,30,0
13744,JWST,4980,003,Independent Study,"3","Peter Ochs","TBA","TBA","Supervised Research","",Open,0,30,0
13746,JWST,4980,005,Independent Study,"3","Elizabeth Alexander","TBA","TBA","Supervised Research","",Open,0,30,0
13747,JWST,4980,006,Independent Study,"3","Gregory Goering","TBA","TBA","Supervised Research","",Open,0,30,0
15257,JWST,4980,007,Independent Study,"3","Jessica Andruss","TBA","TBA","Supervised Research","",Open,0,30,0
15258,JWST,4980,008,Independent Study,"3","Gabriel Finder","TBA","TBA","Supervised Research","",Open,0,30,0
15259,JWST,4980,009,Independent Study,"3","Jennifer Geddes","TBA","TBA","Supervised Research","",Open,0,30,0
15260,JWST,4980,010,Independent Study,"3","Zvi Gilboa","TBA","TBA","Supervised Research","",Open,0,30,0
15261,JWST,4980,011,Independent Study,"3","James Loeffler","TBA","TBA","Supervised Research","",Open,0,30,0
15262,JWST,4980,012,Independent Study,"3","Caroline Rody","TBA","TBA","Supervised Research","",Open,0,30,0
15263,JWST,4980,013,Independent Study,"3","Joel Rubin","TBA","TBA","Supervised Research","",Open,0,30,0
15370,JWST,4980,015,Independent Study,"3","Martien Halvorson-Taylor","TBA","TBA","Supervised Research","",Open,0,30,0
15265,JWST,8500,001,Seminar,"1 - 6","Irit Dekel","TBA","TBA","Topics for Supervised Study and Research","",Open,0,10,0
16905,KINE,1000,1,Lecture,"1","Diane Whaley,Lynne Crotts","Tu 6:30PM - 9:00PM","McLeod Hall 2010 - Science Ctr","Introduction to Mindfulness","",Open,14,16,0
16906,KINE,1040,1,Lecture,"1","Diane Whaley,Lisa Speidel","MoWe 11:00AM - 12:15PM","Memorial Gymnasium 120-MP","Women's Self-Defense","",Closed,32,24,0
17177,KINE,1050,1,Lecture,"1","Diane Whaley,Geoffrey Cox","Mo 4:00PM - 6:30PM","TBA","Meditation Peer Leadership","",Open,15,16,0
17094,KINE,1110,1,Lecture,"1","Diane Whaley,Jonna Koski","MoWeFr 11:00AM - 11:50AM","Slaughter Rec Racquetball 1","Racquetball","",Open,15,20,0
20116,KINE,1115,1,Lecture,"1","Dean Russell,Diane Whaley","TuTh 11:00AM - 12:15PM","Contact Department","Squash","",Open,15,16,0
16908,KINE,1120,1,Lecture,"1","Diane Whaley,Jacob Long","TuTh 11:00AM - 12:15PM","Memorial Gymnasium Main Gym","Volleyball","",Open,22,24,0
16909,KINE,1130,1,Lecture,"1","Claire Newman,Diane Whaley","TuTh 12:30PM - 1:45PM","Carr's Hill Field","Soccer","",Closed,28,24,0
16910,KINE,1150,1,Lecture,"1","Breyana Mason,Diane Whaley","MoWeFr 12:00PM - 12:50PM","Memorial Gymnasium Main Gym","Basketball","",Open,23,24,0
16912,KINE,1170,1,Lecture,"1","Diane Whaley,Robert Ezell","TuTh 12:30PM - 1:45PM","Birdwood Golf Course","Golf","",Open,23,24,0
21664,KINE,1170,2,Lecture,"1","Diane Whaley,Harvey Volentine","TuTh 11:00AM - 12:15PM","Birdwood Golf Course","Golf","",Closed,24,24,0
16913,KINE,1200,1,Lecture,"1","Diane Whaley,Jonna Koski","TuTh 9:30AM - 10:45AM","Slaughter Rec 113-Main Gym","Badminton","",Open,17,24,0
16914,KINE,1230,1,Lecture,"1","Connor Maguder,Diane Whaley","MoWeFr 12:00PM - 12:50PM","Carr's Hill Field","Ultimate Frisbee","",Open,14,24,0
16915,KINE,1300,1,Lecture,"1","Diane Whaley,Jordan Hall","TuTh 8:00AM - 9:15AM","Aquatic & Fitness Ctr N Pool","Swimming","",Closed,21,20,0
16916,KINE,1300,2,Lecture,"1","Diane Whaley,Sarah Humphreys","TuTh 8:00AM - 9:15AM","Aquatic & Fitness Ctr S Pool","Swimming","",Open,18,20,0
16917,KINE,1310,1,Lecture,"1","Diane Whaley,Justin Anderson","TuTh 9:30AM - 10:45AM","Aquatic & Fitness Ctr S Pool","Swimming for Fitness","",Closed,24,24,0
16918,KINE,1320,1,Lecture,"1","Diane Whaley,Lynn Samuel","Mo 6:30PM - 10:00PM","North Grounds Rec Ctr Pool LN0","Scuba Diving","",Open,18,24,0
16919,KINE,1325,1,Lecture,"1","Diane Whaley,Lynn Samuel","Mo 12:00AM - 12:00AM","N Grounds Rec Ctr Pool - Deep","Advanced Scuba","",Open,10,20,0
16920,KINE,1400,1,Lecture,"1","Brittany Evans,Diane Whaley","MoWeFr 9:00AM - 9:50AM","Memorial Gymnasium B010","Weight Training","",Closed,24,24,0
16921,KINE,1400,2,Lecture,"1","Diane Whaley,Melissa Patterson","MoWeFr 10:00AM - 10:50AM","Memorial Gymnasium B010","Weight Training","",Closed,24,24,0
16922,KINE,1400,3,Lecture,"1","Brandon Kim,Diane Whaley","TuTh 9:30AM - 10:45AM","Memorial Gymnasium B010","Weight Training","",Closed,25,24,0
16932,KINE,1410,1,Lecture,"1","Diane Whaley,Sarah Moseley","TuTh 8:00AM - 9:15AM","Memorial Gymnasium 120-MP","Yoga","",Closed,29,24,0
16933,KINE,1410,2,Lecture,"1","Ann Mazur,Diane Whaley","MoWeFr 9:00AM - 9:50AM","Memorial Gymnasium 120-MP","Yoga","",Closed,26,24,0
17173,KINE,1410,3,Lecture,"1","Ann Mazur,Diane Whaley","TuTh 8:00AM - 9:15AM","Aquatic & Fitness Ctr MP1","Yoga","",Closed,24,24,0
17180,KINE,1410,4,Lecture,"1","Diane Whaley,John Bultman","TuTh 2:00PM - 3:15PM","Aquatic & Fitness Ctr MP1","Yoga","",Closed,26,24,0
17085,KINE,1420,1,Lecture,"1","Berkley Henshaw,Diane Whaley","TuTh 8:00AM - 9:15AM","Aquatic & Fitness Ctr 4","Core Training","",Closed,25,24,0
17003,KINE,1425,1,Lecture,"1","Diane Whaley,John McCall","TuTh 9:30AM - 10:45AM","ORC Bouldering Wall","Climbing","",Closed,19,15,0
16934,KINE,1430,1,Lecture,"1","Diane Whaley,William Fuller","TuTh 9:30AM - 10:45AM","Memorial Gymnasium Main Gym","Cross Training and Conditioning","",Closed,24,24,0
16935,KINE,1430,2,Lecture,"1","Brittany Evans,Diane Whaley","MoWeFr 10:00AM - 10:50AM","Memorial Gymnasium Main Gym","Cross Training and Conditioning","",Open,23,24,0
16936,KINE,1430,3,Lecture,"1","Diane Whaley,Melissa Patterson","MoWeFr 11:00AM - 11:50AM","Memorial Gymnasium Main Gym","Cross Training and Conditioning","",Closed,25,24,0
16937,KINE,1440,1,Lecture,"1","Brittany Evans,Diane Whaley","MoWeFr 8:00AM - 8:50AM","Memorial Gymnasium Main Gym","Running for Fitness","",Open,14,24,0
17086,KINE,1440,2,Lecture,"1","Diane Whaley,Sarah Katz","TuTh 8:00AM - 9:15AM","Memorial Gymnasium Main Gym","Running for Fitness","",Open,22,24,0
16938,KINE,1445,1,Lecture,"1","Diane Whaley,Melissa Patterson","MoWeFr 8:00AM - 8:50AM","Memorial Gymnasium B010","Women's Weight Training","",Open,22,24,0
16939,KINE,1445,2,Lecture,"1","Diane Whaley,Rachel D'Epagnier","TuTh 8:00AM - 9:15AM","Memorial Gymnasium B010","Women's Weight Training","",Closed,25,24,0
16940,KINE,1720,1,Lecture,"1","Diane Whaley,Olivia Rivard","TuTh 9:30AM - 10:45AM","Memorial Gymnasium 120-MP","Dance for Fitness","",Open,20,30,0
16941,KINE,1725,1,Lecture,"1","Carrie Pledger,Diane Whaley","MoWe 3:30PM - 4:45PM","Slaughter Rec 115A-MP1","Ballroom Dancing","",Open,18,24,0
17083,KINE,1730,1,Lecture,"1","Diane Whaley,Grace Ranson","Tu 2:00PM - 4:30PM","Slaughter Rec 113-Main Gym","Hiking","",Closed,20,20,0
16888,KINE,2200,1,Lecture,"3","Martin Block","TuTh 2:00PM - 3:15PM","Ruffner Hall G008","Motor Development","",Closed,170,170,0
17067,KINE,2420,1,Lecture,"3","Jason Davis","TuTh 9:30AM - 10:45AM","Aquatic & Fitness Ctr 201","Introduction to Personal Training","",Closed,30,20,0
17147,KINE,2850,1,Lecture,"1","Revay Corbett","TBA","TBA","Medical Terminology","",Closed,50,50,0
17148,KINE,2850,2,Lecture,"1","Revay Corbett","TBA","TBA","Medical Terminology","",Closed,49,50,0
20297,KINE,2850,3,Lecture,"1","Revay Corbett","TBA","TBA","Medical Terminology","",Open,48,50,0
16884,KINE,3400,1,Lecture,"3","Randy Bird","TuTh 8:00AM - 9:15AM","Ruffner Hall G008","Nutrition","",Open,148,150,0
16993,KINE,3420,1,Lecture,"3","David Edwards","TuTh 9:30AM - 10:45AM","Ruffner Hall G008","Contemporary Health Issues","",Closed,161,160,0
17164,KINE,3450,1,Lecture,"3","Steven Malin","TuTh 11:00AM - 12:15PM","Ruffner Hall G008","Exercise and Nutrition Medicine","",Closed,100,80,0
17149,KINE,3615,1,Lecture,"2","Ethan Saliba","TBA","TBA","Service Learning in Sports Medicine Athletic Training","",Open,18,30,0
16885,KINE,3620,1,Lecture,"3","Joseph Hart","TuTh 11:00AM - 12:15PM","Ruffner Hall G004","Biomechanics/Motor Control of Human Movement","",Open,73,76,0
16882,KINE,3630,1,Lecture,"3","Rachel Rolfe","MoWe 11:00AM - 11:50AM","Dell 1 105","Emergency Medical Care","",Closed,30,30,0
17068,KINE,3630,2,Lecture,"3","Rachel Rolfe","MoWe 11:00AM - 11:50AM","Contact Department","Emergency Medical Care","",Closed,30,30,0
16995,KINE,3660,1,Lecture,"3","Jacob Resch","MoWeFr 11:00AM - 11:50AM","Ruffner Hall G004","Neuroscience of Exercise","",Closed,80,80,0
16881,KINE,4000,1,Practicum,"3","Luke Kelly","MoWeFr 12:00PM - 12:50PM","Ruffner Hall 137","Practicum in Kinesiology","",Open,15,40,0
20705,KINE,4420,1,Seminar,"1","Luke Kelly","Mo 8:00AM - 9:00AM","Memorial Gymnasium 211","Health and Wellbeing Capstone Seminar","",Open,20,30,0
16880,KINE,4600,1,Lecture,"3","Luzita Vela","MoWeFr 9:00AM - 9:50AM","Ruffner Hall 127","Athletic Injuries","",Open,37,40,0
16878,KINE,4601,1,Laboratory,"1","Andrea Baellow","Fr 10:00AM - 10:50AM","Contact Department","Athletic Injuries Lab","",Open,26,30,0
16868,KINE,4993,1,Independent Study,"1 - 6","Arthur Weltman","TBA","TBA","Independent Study","",Open,0,30,0
16869,KINE,4993,2,Independent Study,"1 - 6","Susan Saliba","TBA","TBA","Independent Study","",Open,0,30,0
16870,KINE,4993,3,Independent Study,"1 - 6","Ethan Saliba","TBA","TBA","Independent Study","",Open,0,30,0
16871,KINE,4993,4,Independent Study,"1 - 6","Jay Hertel","TBA","TBA","Independent Study","",Open,0,30,0
16872,KINE,4993,5,Independent Study,"1 - 6","Joseph Hart","TBA","TBA","Independent Study","",Open,1,30,0
16873,KINE,4993,6,Independent Study,"1 - 6","Martin Block","TBA","TBA","Independent Study","",Open,1,30,0
16874,KINE,4993,7,Independent Study,"1 - 6","Luke Kelly","TBA","TBA","Independent Study","",Open,1,30,0
16875,KINE,4993,8,Independent Study,"1 - 6","Barbara Boyce","TBA","TBA","Independent Study","",Open,0,30,0
16876,KINE,4993,9,Independent Study,"1 - 6","Steven Malin","TBA","TBA","Independent Study","",Open,0,30,0
16893,KINE,4993,10,Independent Study,"1 - 6","Jacob Resch","TBA","TBA","Independent Study","",Open,0,30,0
16894,KINE,4993,11,Independent Study,"1 - 6","David Edwards","TBA","TBA","Independent Study","",Open,0,30,0
21586,KINE,4993,12,Independent Study,"1 - 6","Sibylle Kranz","TBA","TBA","Independent Study","",Open,2,30,0
17001,KINE,5120,1,Lecture,"3","Barbara Boyce","MoWeFr 9:00AM - 9:50AM","Memorial Gymnasium 213","Secondary Pedagogy","",Open,3,15,0
16889,KINE,5250,1,Lecture,"2","Martin Block","Th 3:30PM - 5:30PM","Memorial Gymnasium 213","Kinesiology for Children Severe Disabilities","",Open,11,20,0
16890,KINE,5260,1,Lecture,"3","Luke Kelly","We 3:30PM - 6:00PM","Memorial Gymnasium 211","Adapted Physical Education: Physically and Sensory Impaired","",Open,18,20,0
17069,KINE,5280,1,Seminar,"2","Luke Kelly","Mo 3:30PM - 6:00PM","Memorial Gymnasium 211","Seminar in Adapted Physical Education","",Open,10,20,0
21096,KINE,5432,1,Lecture,"3","Jason Allen","MoWe 2:00PM - 3:00PM","Memorial Gymnasium 211","Human Circulatory Physiology: Regulation/Adaptation","",Closed,16,16,0
16891,KINE,5440,1,Lecture,"3","Arthur Weltman","We 9:00AM - 12:00PM","Memorial Gymnasium 211","Exercise Physiology Laboratory","",Open,13,20,0
17151,KINE,5460,1,Lecture,"3","David Edwards","TuTh 12:30PM - 1:45PM","Memorial Gymnasium 211","Clinical Exercise Testing, Evaluation and Prescription","",Open,10,20,0
16887,KINE,5470,1,Lecture,"3","Steven Malin","TuTh 9:30AM - 10:45AM","Memorial Gymnasium 211","Metabolic Adaptations to Exercise","",Open,19,20,0
21730,KINE,5475,1,Seminar,"1","Arthur Weltman","Mo 1:00PM - 2:00PM","Memorial Gymnasium 211","Seminar in Exercise Physiology","",Open,12,15,0
